,DOE,Fit_Try3
701,doe2555,-2.6
702,doe2557,-3.0
703,doe2559,-3.0
704,doe2657,-5.2
705,doe2659,-4.6
706,doe2661,-2.7
707,doe2663,-2.6
708,doe2665,-5.1
709,doe2667,-4.3
710,doe2669,-1.9
711,doe2671,-2.0
712,doe2673,-4.6
713,doe2675,-3.7
714,doe2677,-1.2
715,doe2679,-1.6
716,doe2681,-4.5
717,doe2683,-3.4
718,doe2685,-0.8
719,doe2687,-1.1
720,doe2785,-4.4
721,doe2787,-3.7
722,doe2789,-2.0
723,doe2791,-2.7
724,doe2793,-1.5
725,doe2795,-2.0
726,doe2797,-0.5
727,doe2799,-0.8
728,doe2801,-3.8
729,doe2803,-2.3
730,doe2805,-0.9
731,doe2807,-1.3
732,doe2809,-1.9
733,doe2811,-2.4
734,doe2813,-1.6
735,doe2815,-1.7
736,doe2913,-5.2
737,doe2915,-4.5
738,doe2917,-0.9
739,doe2919,-1.5
740,doe2921,-5.2
741,doe2923,-4.0
742,doe2925,-0.6
743,doe2927,-0.9
744,doe2929,-1.9
745,doe2931,-1.3
746,doe2933,-1.8
747,doe2935,-1.0
748,doe2937,-1.5
749,doe2939,-0.6
750,doe2941,-1.7
751,doe2943,-0.4
752,doe3041,-4.3
753,doe3043,-3.5
754,doe3045,-0.9
755,doe3047,-1.9
756,doe3049,-0.2
757,doe3051,-1.1
758,doe3053,-0.2
759,doe3055,-0.7
760,doe3057,-0.9
761,doe3059,-1.4
762,doe3061,-0.8
763,doe3063,-1.5
764,doe3065,-2.2
765,doe3067,-2.9
766,doe3069,-2.0
767,doe3071,-2.7
768,doe3073,0.1
769,doe3075,0.2
770,doe3077,0.3
771,doe3079,0.3
772,doe3081,0.6
773,doe3083,0.6
774,doe3085,0.4
775,doe3087,0.5
776,doe3089,-0.8
777,doe3091,-0.1
778,doe3093,-0.6
779,doe3095,-0.4
780,doe3097,-0.6
781,doe3099,-0.1
782,doe3101,-0.5
783,doe3103,-0.3
784,doe3105,0.1
785,doe3107,0.1
786,doe3109,-0.5
787,doe3111,-0.5
